"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"1206","St Kilda",2,520000,"PI","Marshall",2016-10-09,6.1,"3182",1,1,55,1950,-37.8717,144.9829,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1207","St Kilda",1,395000,"SP","Buxton",2016-10-09,6.1,"3182",1,1,49,1975,-37.8621,144.9823,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1208","St Kilda",2,560000,"S","Other",2016-10-09,6.1,"3182",1,2,76,1970,-37.8585,144.9852,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1209","Thornbury",2,505000,"SP","McGrath",2016-10-09,6.5,"3071",1,1,76,1970,-37.7608,145.0059,"Northern Metropolitan",8870,77,"17,473","Darebin",10,2016
"1210","Thornbury",1,260000,"VB","Fletchers",2016-10-09,6.5,"3071",1,1,49,1970,-37.7574,144.9907,"Northern Metropolitan",8870,77,"17,473","Darebin",10,2016
"1211","Toorak",3,1635000,"S","Other",2016-10-09,4.6,"3142",1,0,114.5,1970,-37.8438,145.0303,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1212","Toorak",1,345000,"S","Woodards",2016-10-09,4.6,"3142",1,1,49,1970,-37.8501,145.0199,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1213","West Footscray",4,530000,"SP","Sweeney",2016-10-09,8.2,"3012",2,1,171,1970,-37.809,144.8686,"Western Metropolitan",5058,64,"10,215","Maribyrnong",10,2016
"1214","Other",1,285000,"S","Williams",2016-10-09,8.9,"3016",1,1,49,1970,-37.8571,144.8841,"Western Metropolitan",802,61,"1,543","Hobsons Bay",10,2016
"1215","Yarraville",2,330000,"VB","Jas",2016-10-09,7,"3013",1,1,76,1970,-37.8133,144.8865,"Western Metropolitan",6543,77,"13,811","Maribyrnong",10,2016
"1216","Altona",3,605000,"S","Jas",2016-10-12,13.8,"3018",2,2,114.5,1989,-37.8646,144.827,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",10,2016
"1217","Armadale",2,592500,"S","hockingstuart",2016-10-12,6.3,"3143",1,1,73,1970,-37.8574,145.0174,"Southern Metropolitan",4836,74,"8,732","Stonnington",10,2016
"1218","Armadale",1,4e+05,"PI","hockingstuart",2016-10-12,6.3,"3143",1,1,49,1970,-37.8605,145.0185,"Southern Metropolitan",4836,74,"8,732","Stonnington",10,2016
"1219","Bentleigh",2,650000,"SP","hockingstuart",2016-10-12,13,"3204",1,1,92,1960,-37.9245,145.0336,"Southern Metropolitan",6795,75,"14,926","Glen Eira",10,2016
"1220","Bentleigh East",2,716000,"S","Buxton",2016-10-12,13.9,"3165",1,2,76,1996,-37.9218,145.0607,"Southern Metropolitan",10969,59,"25,928","Glen Eira",10,2016
"1221","Brighton",3,1602000,"S","RT",2016-10-12,11.2,"3186",2,2,114.5,1970,-37.9288,144.9954,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"1222","Brunswick",3,880000,"S","Dingle",2016-10-12,5.2,"3056",2,1,152,2000,-37.7697,144.9649,"Northern Metropolitan",11918,84,"22,739","Moreland",10,2016
"1223","Brunswick East",2,656000,"S","Collins",2016-10-12,4.5,"3057",1,1,79,1960,-37.7786,144.9753,"Northern Metropolitan",5533,83,"8,502","Moreland",10,2016
"1224","Brunswick West",2,4e+05,"SP","Nelson",2016-10-12,5.9,"3055",1,1,64,1960,-37.7528,144.9368,"Northern Metropolitan",7082,66,"13,171","Moreland",10,2016
"1225","Carlton",2,795000,"S","Nelson",2016-10-12,1.8,"3053",2,1,76,2000,-37.8009,144.9642,"Northern Metropolitan",6786,97,"13,505","Melbourne",10,2016
"1226","Caulfield North",1,290000,"VB","hockingstuart",2016-10-12,8.1,"3161",1,1,43,1970,-37.8744,145.0371,"Southern Metropolitan",6923,67,"14,597","Glen Eira",10,2016
"1227","Caulfield North",2,608000,"SP","Gary",2016-10-12,8.1,"3161",1,1,76,1975,-37.8607,145.0112,"Southern Metropolitan",6923,67,"14,597","Glen Eira",10,2016
"1228","Other",1,360000,"VB","RT",2016-10-12,1.9,"Other",1,1,49,1975,-37.8133,144.9433,"Southern Metropolitan",4707,86,"5,778","Melbourne",10,2016
"1229","Doncaster",3,772000,"S","Barry",2016-10-12,13.9,"3108",2,1,109,1986,-37.7776,145.1267,"Eastern Metropolitan",9028,58,"18,372","Manningham",10,2016
"1230","Elsternwick",2,591000,"S","Buxton",2016-10-12,8.5,"3185",1,1,62,2008,-37.8857,145.0136,"Southern Metropolitan",4898,83,"9,772","Glen Eira",10,2016
"1231","Elsternwick",2,537000,"S","Biggin",2016-10-12,8.5,"3185",1,1,79,1970,-37.8838,145.0095,"Southern Metropolitan",4898,83,"9,772","Glen Eira",10,2016
"1232","Essendon",2,445000,"S","Nelson",2016-10-12,8,"3040",1,1,76,1975,-37.7502,144.9065,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1233","Fairfield",2,445000,"S","Nelson",2016-10-12,5.8,"3078",1,1,56,1970,-37.7782,145.0162,"Northern Metropolitan",2970,72,"5,937","Darebin",10,2016
"1234","Flemington",2,360000,"PI","Nelson",2016-10-12,4.4,"3031",1,1,76,1970,-37.7826,144.9273,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"1235","Footscray",2,281000,"S","Sweeney",2016-10-12,6.4,"3011",1,1,65,1980,-37.7891,144.8912,"Western Metropolitan",7570,78,"13,203","Maribyrnong",10,2016
"1236","Glen Iris",2,585000,"SP","Marshall",2016-10-12,9.2,"3146",1,1,76,1960,-37.8523,145.0936,"Southern Metropolitan",10412,65,"24,992","Boroondara",10,2016
"1237","Glen Iris",1,452000,"S","RT",2016-10-12,9.2,"3146",1,1,52,1980,-37.8552,145.05,"Southern Metropolitan",10412,65,"24,992","Stonnington",10,2016
"1238","Hawthorn",2,655000,"S","hockingstuart",2016-10-12,4.6,"3122",1,1,78,1960,-37.8343,145.0364,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1239","Hawthorn",2,545000,"S","Jellis",2016-10-12,4.6,"3122",1,1,76,2004,-37.8258,145.0446,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1240","Hawthorn",1,488000,"S","Marshall",2016-10-12,4.6,"3122",1,1,57,2004,-37.8272,145.0343,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1241","Hawthorn East",3,935000,"PI","Noel",2016-10-12,7.5,"3123",2,1,107,1975,-37.8435,145.0497,"Southern Metropolitan",6482,83,"13,113","Boroondara",10,2016
"1242","Hawthorn East",2,460000,"VB","Fletchers",2016-10-12,7.5,"3123",1,1,55,1967,-37.8278,145.0565,"Southern Metropolitan",6482,83,"13,113","Boroondara",10,2016
"1243","Ivanhoe",1,413000,"S","Nelson",2016-10-12,7.9,"3079",1,1,59,1960,-37.7591,145.0501,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"1244","Ivanhoe",2,705000,"S","Miles",2016-10-12,7.9,"3079",1,1,76,1970,-37.7679,145.0452,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"1245","Ivanhoe",2,504000,"S","Barry",2016-10-12,7.9,"3079",1,1,76,1970,-37.7712,145.0455,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"1246","Ivanhoe East",3,1260000,"S","Miles",2016-10-12,9,"3079",2,2,114.5,1998,-37.7749,145.0568,"Eastern Metropolitan",1554,64,"3,790","Banyule",10,2016
"1247","Keilor East",3,580000,"S","Rendina",2016-10-12,12.8,"3033",2,2,138,2013,-37.7434,144.881,"Western Metropolitan",5629,55,"13,234","Moonee Valley",10,2016
"1248","Kensington",1,365000,"VB","Edward",2016-10-12,4.2,"3031",1,1,47,2012,-37.7961,144.9261,"Northern Metropolitan",5263,82,"9,689","Melbourne",10,2016
"1249","Kew",2,515000,"S","hockingstuart",2016-10-12,5.6,"3101",1,1,76,1966,-37.8017,145.0445,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"1250","Maidstone",3,520000,"PI","Burnham",2016-10-12,9.2,"3012",2,2,184,2011,-37.7868,144.8772,"Western Metropolitan",3873,62,"7,768","Maribyrnong",10,2016
"1251","Malvern East",1,350000,"SP","Thomson",2016-10-12,11.2,"3145",1,1,117,1975,-37.8769,145.0471,"Southern Metropolitan",8801,77,"20,028","Stonnington",10,2016
"1252","Maribyrnong",2,330000,"SP","Biggin",2016-10-12,8.7,"3032",1,1,76,2002,-37.7665,144.9004,"Western Metropolitan",4918,70,"10,135","Maribyrnong",10,2016
"1253","Melbourne",2,671000,"SP","Other",2016-10-12,2.8,"3000",1,1,76,2002,-37.8089,144.967,"Northern Metropolitan",17496,93,"28,353","Melbourne",10,2016
"1254","Mont Albert",2,665000,"S","hockingstuart",2016-10-12,11.8,"3127",2,2,76,2003,-37.8167,145.1118,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",10,2016
"1255","Moonee Ponds",1,360000,"SP","Brad",2016-10-12,6.9,"3039",1,1,54,1965,-37.7652,144.9116,"Western Metropolitan",6232,75,"13,507","Moonee Valley",10,2016
"1256","Newport",2,485000,"S","Williams",2016-10-12,8.4,"3015",1,1,65,2011,-37.8421,144.8821,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",10,2016
"1257","Niddrie",2,490000,"S","Brad",2016-10-12,11.2,"3042",1,1,76,2010,-37.7415,144.8914,"Western Metropolitan",2291,61,"4,851","Moonee Valley",10,2016
"1258","Niddrie",3,8e+05,"S","Nelson",2016-10-12,11.2,"3042",2,1,114.5,2010,-37.7452,144.8895,"Western Metropolitan",2291,61,"4,851","Moonee Valley",10,2016
"1259","North Melbourne",2,720000,"S","Other",2016-10-12,2.3,"3051",2,1,98,1998,-37.8015,144.9526,"Northern Metropolitan",6821,87,"11,733","Melbourne",10,2016
"1260","North Melbourne",1,368000,"SP","Jellis",2016-10-12,2.3,"3051",1,1,52,2003,-37.8,144.9542,"Northern Metropolitan",6821,87,"11,733","Melbourne",10,2016
"1261","Northcote",1,385000,"SP","McGrath",2016-10-12,5.5,"3070",1,0,41,1970,-37.7827,144.9999,"Northern Metropolitan",11364,82,"22,914","Darebin",10,2016
"1262","Ormond",2,950000,"S","Gary",2016-10-12,11.8,"3204",1,1,76,1975,-37.9009,145.037,"Southern Metropolitan",3578,72,"7,707","Glen Eira",10,2016
"1263","Port Melbourne",2,1610000,"S","Kay",2016-10-12,3.8,"3207",2,2,104,2007,-37.8392,144.9257,"Southern Metropolitan",8648,84,"14,520","Port Phillip",10,2016
"1264","Prahran",2,590000,"PI","Purplebricks",2016-10-12,4.5,"3181",1,1,76,2005,-37.8509,144.9954,"Southern Metropolitan",7717,87,"11,171","Stonnington",10,2016
"1265","Preston",1,305000,"S","Nelson",2016-10-12,8.8,"3072",1,1,49,1955,-37.7367,144.9899,"Northern Metropolitan",14577,73,"29,893","Darebin",10,2016
"1266","Preston",2,656000,"S","Barry",2016-10-12,8.8,"3072",1,1,76,1975,-37.7413,144.9939,"Northern Metropolitan",14577,73,"29,893","Darebin",10,2016
"1267","Reservoir",2,420000,"S","Harcourts",2016-10-12,11.2,"3073",1,0,76,1980,-37.7145,144.9962,"Northern Metropolitan",21650,60,"47,517","Darebin",10,2016
"1268","Reservoir",2,401000,"S","Darren",2016-10-12,11.2,"3073",1,1,77,1965,-37.7043,145.0277,"Northern Metropolitan",21650,60,"47,517","Darebin",10,2016
"1269","Reservoir",2,491000,"S","Love",2016-10-12,11.2,"3073",1,1,93,1970,-37.7167,145.0001,"Northern Metropolitan",21650,60,"47,517","Darebin",10,2016
"1270","Reservoir",2,520000,"S","Love",2016-10-12,11.2,"3073",1,1,76,1980,-37.7181,144.9985,"Northern Metropolitan",21650,60,"47,517","Darebin",10,2016
"1271","South Yarra",2,601000,"S","Biggin",2016-10-12,3.3,"3141",1,1,76,1970,-37.8406,145.0033,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1272","South Yarra",2,625000,"S","Williams",2016-10-12,3.3,"3141",1,1,76,1970,-37.8359,144.9921,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1273","South Yarra",1,955000,"PI","Williams",2016-10-12,3.3,"3141",1,1,85,1970,-37.8357,144.991,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1274","South Yarra",1,380000,"S","hockingstuart",2016-10-12,3.3,"3141",1,1,41,1980,-37.8415,144.991,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1275","South Yarra",1,490000,"S","RT",2016-10-12,3.3,"3141",1,1,49,1970,-37.8425,145.0009,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1276","St Kilda",1,385000,"PI","hockingstuart",2016-10-12,6.1,"3182",1,1,53,2005,-37.8614,144.9741,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1277","St Kilda",1,370500,"S","hockingstuart",2016-10-12,6.1,"3182",1,1,46,1960,-37.8722,144.9805,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1278","Sunshine",3,490000,"S","Barry",2016-10-12,12.6,"3020",1,1,115,1950,-37.7793,144.8427,"Western Metropolitan",3755,71,"8,849","Brimbank",10,2016
"1279","Sunshine West",3,545000,"S","Barry",2016-10-12,13.5,"3020",2,1,131,2011,-37.7891,144.8152,"Western Metropolitan",6763,49,"16,759","Brimbank",10,2016
"1280","Thornbury",1,365000,"S","McGrath",2016-10-12,6.5,"3071",1,1,40,1970,-37.7544,145.0092,"Northern Metropolitan",8870,77,"17,473","Darebin",10,2016
"1281","Toorak",2,810000,"SP","Jellis",2016-10-12,4.6,"3142",2,2,94,1980,-37.842,145.0046,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1282","Other",2,503000,"S","Nelson",2016-10-12,5.3,"3032",1,1,76,1960,-37.7822,144.9342,"Western Metropolitan",1052,73,"1,685","Moonee Valley",10,2016
"1283","Viewbank",2,555000,"SP","Miles",2016-10-12,13.8,"3084",1,2,90,1980,-37.7393,145.0806,"Eastern Metropolitan",2698,39,"6,741","Banyule",10,2016
"1284","Windsor",1,412500,"S","Other",2016-10-12,5.1,"3181",1,1,49,1972,-37.8533,144.9986,"Southern Metropolitan",4380,91,"7,051","Stonnington",10,2016
"1285","Windsor",1,372000,"S","Fletchers",2016-10-12,5.1,"3181",1,1,49,1970,-37.8574,145,"Southern Metropolitan",4380,91,"7,051","Stonnington",10,2016
"1286","Altona",2,447000,"S","Burnham",2016-10-15,13.8,"3018",1,1,77,1990,-37.8655,144.8299,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",10,2016
"1287","Ascot Vale",2,432000,"S","Biggin",2016-10-15,5.9,"3032",1,1,62,1978,-37.773,144.9303,"Western Metropolitan",6567,75,"13,503","Moonee Valley",10,2016
"1288","Balaclava",2,520000,"S","Gary",2016-10-15,6.6,"3183",1,0,58,1970,-37.8742,144.9972,"Southern Metropolitan",2952,88,"5,421","Port Phillip",10,2016
"1289","Balaclava",2,502500,"S","Buxton",2016-10-15,6.6,"3183",1,1,65,1960,-37.8725,144.9952,"Southern Metropolitan",2952,88,"5,421","Port Phillip",10,2016
"1290","Brighton",2,756000,"S","Buxton",2016-10-15,11.2,"3186",1,1,80,1920,-37.9112,144.9909,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"1291","Brighton",1,375000,"S","hockingstuart",2016-10-15,11.2,"3186",1,1,40,1965,-37.9181,144.993,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"1292","Brighton East",2,905000,"S","Hodges",2016-10-15,10.7,"3187",1,2,93,1980,-37.9172,145.0072,"Southern Metropolitan",6938,63,"15,807","Bayside",10,2016
"1293","Brunswick",1,279500,"S","Walshe",2016-10-15,5.2,"3056",1,1,51,1970,-37.7597,144.9548,"Northern Metropolitan",11918,84,"22,739","Moreland",10,2016
"1294","Brunswick East",1,370000,"VB","Nelson",2016-10-15,4.5,"3057",1,1,49,2008,-37.765,144.9731,"Northern Metropolitan",5533,83,"8,502","Moreland",10,2016
"1295","Brunswick West",2,380000,"PI","Jellis",2016-10-15,5.9,"3055",1,1,62,1970,-37.7676,144.9394,"Northern Metropolitan",7082,66,"13,171","Moreland",10,2016
"1296","Carnegie",1,345000,"S","Thomson",2016-10-15,11.4,"3163",1,1,49,1970,-37.8968,145.0609,"Southern Metropolitan",7822,75,"16,333","Glen Eira",10,2016
"1297","Caulfield South",2,525500,"S","Ray",2016-10-15,9.3,"3162",1,1,80,1970,-37.8974,145.0294,"Southern Metropolitan",5051,70,"11,292","Glen Eira",10,2016
"1298","Elwood",2,630000,"S","Chisholm",2016-10-15,7.7,"3184",1,1,76,1960,-37.8828,144.9897,"Southern Metropolitan",8989,84,"14,644","Port Phillip",10,2016
"1299","Essendon",2,485000,"SP","Other",2016-10-15,8,"3040",1,1,73,2010,-37.7504,144.9138,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1300","Essendon",3,891000,"S","Brad",2016-10-15,8,"3040",2,1,114.5,1975,-37.7546,144.9134,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1301","Essendon",3,840000,"S","Nelson",2016-10-15,8,"3040",2,2,114.5,1975,-37.7468,144.9051,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1302","Essendon",2,520000,"VB","Barry",2016-10-15,8,"3040",1,2,73,1975,-37.7486,144.9072,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1303","Essendon",2,585000,"VB","Nelson",2016-10-15,8,"3040",1,1,76,1975,-37.7421,144.8995,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"1304","Fairfield",2,438000,"S","Harcourts",2016-10-15,5.8,"3078",1,1,76,1978,-37.7762,145.0213,"Northern Metropolitan",2970,72,"5,937","Darebin",10,2016
"1305","Fawkner",1,288000,"S","Brad",2016-10-15,12.4,"3060",1,1,49,1960,-37.7192,144.9654,"Northern Metropolitan",5070,56,"12,589","Moreland",10,2016
"1306","Flemington",2,476000,"S","Alexkarbon",2016-10-15,4.4,"3031",1,1,76,1970,-37.783,144.932,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"1307","Flemington",2,395000,"PI","Rendina",2016-10-15,4.4,"3031",1,1,60,1970,-37.7833,144.9255,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"1308","Footscray",2,433000,"SP","Jas",2016-10-15,6.4,"3011",1,1,66,2012,-37.8017,144.8957,"Western Metropolitan",7570,78,"13,203","Maribyrnong",10,2016
"1309","Footscray",2,295000,"SP","Other",2016-10-15,6.4,"3011",1,1,69,1960,-37.7903,144.891,"Western Metropolitan",7570,78,"13,203","Maribyrnong",10,2016
"1310","Glen Iris",2,680000,"S","hockingstuart",2016-10-15,9.2,"3146",1,1,76,1960,-37.8566,145.0454,"Southern Metropolitan",10412,65,"24,992","Stonnington",10,2016
"1311","Glenroy",2,410000,"SP","Brad",2016-10-15,13,"3046",1,2,81,2000,-37.7002,144.9428,"Northern Metropolitan",8870,54,"19,671","Moreland",10,2016
"1312","Hampton",3,810000,"S","Buxton",2016-10-15,13.7,"3188",1,1,115,1960,-37.9396,145.0156,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"1313","Hawthorn",4,1650000,"VB","Kay",2016-10-15,4.6,"3122",2,3,180,2002,-37.8271,145.0243,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1314","Hawthorn",1,320000,"VB","Marshall",2016-10-15,4.6,"3122",1,1,49,1970,-37.827,145.0444,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1315","Hawthorn",1,4e+05,"PI","Biggin",2016-10-15,4.6,"3122",1,1,41,1950,-37.8155,145.0161,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"1316","Ivanhoe",2,690000,"S","Barry",2016-10-15,7.9,"3079",1,1,83,1970,-37.7671,145.0408,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"1317","Kew",2,765000,"S","Marshall",2016-10-15,5.6,"3101",1,2,76,1960,-37.8066,145.0211,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"1318","Kew",2,672000,"S","RT",2016-10-15,5.6,"3101",1,1,77,1966,-37.8108,145.0545,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"1319","Kew",2,590000,"SP","Jellis",2016-10-15,5.6,"3101",1,1,80,1975,-37.805,145.0294,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"1320","Kingsville",2,440000,"S","hockingstuart",2016-10-15,7.8,"3012",1,1,74,2008,-37.8083,144.8775,"Western Metropolitan",1808,70,"3,525","Maribyrnong",10,2016
"1321","Malvern",2,566000,"SP","hockingstuart",2016-10-15,7.4,"3144",1,1,80,1970,-37.8633,145.0338,"Southern Metropolitan",4675,80,"9,494","Stonnington",10,2016
"1322","Melbourne",3,750000,"S","Greg",2016-10-15,2.8,"3000",2,1,122,1998,-37.8095,144.9691,"Northern Metropolitan",17496,93,"28,353","Melbourne",10,2016
"1323","Melbourne",1,375000,"PI","LITTLE",2016-10-15,2.8,"3000",1,0,47,2014,-37.8161,144.9712,"Northern Metropolitan",17496,93,"28,353","Melbourne",10,2016
"1324","Mont Albert",2,540000,"S","hockingstuart",2016-10-15,11.8,"3127",1,1,76,1960,-37.8172,145.1114,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",10,2016
"1325","Murrumbeena",1,290000,"S","McGrath",2016-10-15,12.1,"3163",1,1,49,1975,-37.8956,145.0705,"Southern Metropolitan",4442,71,"8,573","Glen Eira",10,2016
"1326","Northcote",2,430000,"PI","Nelson",2016-10-15,5.5,"3070",1,1,76,1970,-37.7813,145.0062,"Northern Metropolitan",11364,82,"22,914","Darebin",10,2016
"1327","Oakleigh",3,690000,"S","Buxton",2016-10-15,14,"3166",1,2,103,1930,-37.8968,145.0983,"Southern Metropolitan",3224,73,"7,540","Monash",10,2016
"1328","Ormond",3,932000,"S","Woodards",2016-10-15,11.8,"3204",2,1,92,1997,-37.9069,145.041,"Southern Metropolitan",3578,72,"7,707","Glen Eira",10,2016
"1329","Ormond",3,973000,"SP","Marshall",2016-10-15,11.8,"3204",2,2,114.5,1975,-37.8981,145.0367,"Southern Metropolitan",3578,72,"7,707","Glen Eira",10,2016
"1330","Parkville",1,485000,"PI","Jellis",2016-10-15,2.6,"3052",1,1,49,1992,-37.7823,144.9593,"Northern Metropolitan",2309,79,"6,193","Melbourne",10,2016
"1331","Preston",3,798000,"S","Nelson",2016-10-15,8.8,"3072",2,2,114.5,2005,-37.7359,145.0147,"Northern Metropolitan",14577,73,"29,893","Darebin",10,2016
"1332","Preston",2,530000,"S","Nelson",2016-10-15,8.8,"3072",1,1,74,1970,-37.7306,144.9993,"Northern Metropolitan",14577,73,"29,893","Darebin",10,2016
"1333","Reservoir",2,440000,"SP","Ray",2016-10-15,11.2,"3073",1,2,83,1980,-37.709,145.0219,"Northern Metropolitan",21650,60,"47,517","Darebin",10,2016
"1334","Richmond",2,680000,"S","Jellis",2016-10-15,2.6,"3121",1,1,52,2012,-37.823,144.9982,"Northern Metropolitan",14949,90,"23,838","Yarra",10,2016
"1335","Richmond",2,691000,"S","Biggin",2016-10-15,2.6,"3121",2,1,85,2008,-37.8231,144.9906,"Northern Metropolitan",14949,90,"23,838","Yarra",10,2016
"1336","Richmond",1,380000,"PI","Collins",2016-10-15,2.6,"3121",1,1,44,2012,-37.8127,145.0094,"Northern Metropolitan",14949,90,"23,838","Yarra",10,2016
"1337","South Melbourne",1,380000,"VB","Cayzer",2016-10-15,2.1,"3205",1,1,49,1960,-37.8342,144.9679,"Southern Metropolitan",5943,92,"9,318","Port Phillip",10,2016
"1338","South Yarra",1,450000,"S","Hodges",2016-10-15,3.3,"3141",1,1,49,2013,-37.8384,144.9886,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1339","South Yarra",2,832000,"S","Williams",2016-10-15,3.3,"3141",1,1,76,1960,-37.8342,144.9842,"Southern Metropolitan",14887,92,"19,186","Melbourne",10,2016
"1340","South Yarra",2,613000,"S","Kay",2016-10-15,3.3,"3141",1,1,76,1970,-37.845,145.0012,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1341","South Yarra",2,551000,"S","Williams",2016-10-15,3.3,"3141",1,0,76,1970,-37.8383,145.0011,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1342","South Yarra",3,740000,"S","Biggin",2016-10-15,3.3,"3141",1,1,114.5,1970,-37.8376,145.0012,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1343","South Yarra",2,1240000,"S","RT",2016-10-15,3.3,"3141",2,2,76,1970,-37.8343,144.9888,"Southern Metropolitan",14887,92,"19,186","Stonnington",10,2016
"1344","St Kilda",1,330000,"SA","hockingstuart",2016-10-15,6.1,"3182",1,1,49,1970,-37.8642,144.9814,"Southern Metropolitan",13240,93,"17,802","Port Phillip",10,2016
"1345","Sunshine",2,425500,"SP","Barry",2016-10-15,12.6,"3020",1,0,72,1970,-37.7912,144.8439,"Western Metropolitan",3755,71,"8,849","Brimbank",10,2016
"1346","Surrey Hills",2,831000,"S","Noel",2016-10-15,11.2,"3127",1,1,76,1970,-37.8203,145.0955,"Southern Metropolitan",5457,66,"13,143","Boroondara",10,2016
"1347","Surrey Hills",2,610000,"PI","Marshall",2016-10-15,11.2,"3127",1,1,78,1970,-37.8288,145.1048,"Southern Metropolitan",5457,66,"13,143","Whitehorse",10,2016
"1348","Toorak",2,1100000,"VB","Other",2016-10-15,4.6,"3142",2,2,76,1970,-37.8414,145.0137,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1349","Toorak",1,541000,"S","Jellis",2016-10-15,4.6,"3142",1,1,57,1970,-37.8373,145.0116,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1350","Toorak",2,490000,"PI","Thomson",2016-10-15,4.6,"3142",1,1,76,1970,-37.8474,145.0078,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1351","Toorak",3,2205000,"S","Jellis",2016-10-15,4.6,"3142",2,2,185,2014,-37.8512,145.0282,"Southern Metropolitan",7217,74,"12,832","Stonnington",10,2016
"1352","Williamstown",2,415000,"S","Greg",2016-10-15,8,"3016",1,1,76,1977,-37.857,144.891,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",10,2016
"1353","Windsor",1,3e+05,"VB","Ray",2016-10-15,5.1,"3181",1,1,49,2010,-37.8584,144.9994,"Southern Metropolitan",4380,91,"7,051","Port Phillip",10,2016
"1354","Windsor",2,520000,"PI","Biggin",2016-10-15,5.1,"3181",1,1,76,1972,-37.8573,144.9987,"Southern Metropolitan",4380,91,"7,051","Stonnington",10,2016
"1355","Armadale",2,620000,"VB","Marshall",2016-11-19,6.3,"3143",1,1,98,1970,-37.8596,145.0198,"Southern Metropolitan",4836,74,"8,732","Stonnington",11,2016
"1356","Armadale",2,704000,"SP","Greg",2016-11-19,6.3,"3143",1,1,74,1969,-37.8573,145.0186,"Southern Metropolitan",4836,74,"8,732","Stonnington",11,2016
"1357","Ascot Vale",2,440000,"S","McDonald",2016-11-19,5.9,"3032",1,1,65,1970,-37.7749,144.9137,"Western Metropolitan",6567,75,"13,503","Moonee Valley",11,2016
"1358","Ascot Vale",2,540000,"S","Jellis",2016-11-19,5.9,"3032",2,1,76,1974,-37.7786,144.9141,"Western Metropolitan",6567,75,"13,503","Moonee Valley",11,2016
"1359","Balaclava",2,820000,"S","Gary",2016-11-19,6.6,"3183",1,1,76,1962,-37.8691,144.9974,"Southern Metropolitan",2952,88,"5,421","Port Phillip",11,2016
